,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
98,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",283027,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
99,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,282276,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
100,"Sleepy Hollow","Trippie Redd",282131,https://open.spotify.com/track/1ikNTTRcnmMOTDpespZsQ7
101,Weeeeee,"Trippie Redd",281009,https://open.spotify.com/track/2PI3qpTqYowwMzOSQRuj73
102,"Rain On Me (with Ariana Grande)","Lady Gaga",280988,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
103,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",280271,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
104,Whoopty,CJ,280177,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
105,"Rags2Riches 2 (feat. Lil Baby)","Rod Wave",278824,https://open.spotify.com/track/0qJeyYAgv6UpvewUxRXAhb
106,"Whiskey Glasses","Morgan Wallen",275578,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
107,Dior,"Pop Smoke",269984,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
108,"Take You Dancing","Jason Derulo",269854,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
109,"Ballin' (with Roddy Ricch)",Mustard,267436,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
110,Falling,"Harry Styles",266724,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
111,"forget me too (feat. Halsey)","Machine Gun Kelly",266262,https://open.spotify.com/track/1VSuFS7PahCN3SWbOcQ98m
112,"One Of Them Girls","Lee Brice",264457,https://open.spotify.com/track/14GwnOeC9qYEKEA6uOZepa
113,"Beautiful Crazy","Luke Combs",264140,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
114,"HIGHEST IN THE ROOM","Travis Scott",263380,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
115,"Deep End",Fousheé,260847,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
116,"Pretty Heart","Parker McCollum",260450,https://open.spotify.com/track/6vC90OOjZR165Hw8CpsqEm
117,"WHATS POPPIN","Jack Harlow",259772,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
118,"Sunday Best",Surfaces,259369,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
119,"Star Shopping","Lil Peep",258550,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
120,Falling,"Trevor Daniel",258283,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
121,"Intentions (feat. Quavo)","Justin Bieber",257298,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
122,Hawái,Maluma,257192,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
123,"20 Min","Lil Uzi Vert",255823,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
124,"lovely (with Khalid)","Billie Eilish",254283,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
125,ROXANNE,"Arizona Zervas",254077,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
126,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",252975,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
127,"We Paid (feat. 42 Dugg)","Lil Baby",252562,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
128,"Onna Come Up","Lil Eazzyy",251349,https://open.spotify.com/track/3NxFTRr0692mbC5hD0nEZD
129,"SICKO MODE","Travis Scott",249311,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
130,"Breaking Me",Topic,246100,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
131,Bang!,AJR,246044,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
132,"Chasin' You","Morgan Wallen",245668,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
133,July,"Noah Cyrus",244340,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
134,"Kacey Talk","YoungBoy Never Broke Again",243655,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
135,"No Role Modelz","J. Cole",242049,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
136,SAD!,XXXTENTACION,241991,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
137,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",239177,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
138,"Said Sum (feat. City Girls & DaBaby) - Remix","Moneybagg Yo",237106,https://open.spotify.com/track/13VXVxePp4NUiXwtmQ0viz
139,"Stuck with U (with Justin Bieber)","Ariana Grande",235845,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
140,"Godzilla (feat. Juice WRLD)",Eminem,235603,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
141,BOP,DaBaby,235542,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
142,Conversations,"Juice WRLD",235042,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
143,"MIDDLE CHILD","J. Cole",233471,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
144,"Tongue Tied",Grouplove,230312,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
145,FDT,YG,229935,https://open.spotify.com/track/6k0DJqW2v2e4809Z1zN0YU
146,"Rockin' Around The Christmas Tree","Brenda Lee",229686,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
147,"The Code (feat. Polo G)","King Von",229506,https://open.spotify.com/track/5NOUjBikzECEJyZMTxtErD
148,"Girls in the Hood","Megan Thee Stallion",227937,https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh
149,"High Fashion (feat. Mustard)","Roddy Ricch",227709,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
150,"The Less I Know The Better","Tame Impala",227134,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
151,"Flex (feat. Juice WRLD)","Polo G",226441,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
152,"Heartless (feat. Morgan Wallen)",Diplo,226012,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk
153,PTSD,"G Herbo",225880,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
154,"THE SCOTTS","THE SCOTTS",225657,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
155,"Space Cadet (feat. Gunna)","Metro Boomin",224760,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
156,"Glock In My Lap","21 Savage",223889,https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k
157,"Blood // Water",grandson,223730,https://open.spotify.com/track/0AUyNF6iFxMNQsNx2nhtrw
158,"I Fall Apart","Post Malone",223674,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
159,"I Hope","Gabby Barrett",223255,https://open.spotify.com/track/23T0OX7QOiIUFShSzbJ5Uo
160,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",220796,https://open.spotify.com/track/1Z0cZI0UzNbP9L8MzzGxqf
161,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",220251,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
162,"Toosie Slide",Drake,220176,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
163,"Ice Cream (with Selena Gomez)",BLACKPINK,219419,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
164,"Mad at Disney","salem ilese",219109,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
165,"Without You","Luke Combs",219078,https://open.spotify.com/track/3zxAw8PaqpeGZ3Pakkxv3J
166,"Armed And Dangerous","Juice WRLD",218971,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
167,"Santa Tell Me","Ariana Grande",218477,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
168,"Jingle Bell Rock","Bobby Helms",218413,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
169,"Last Christmas",Wham!,218187,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
170,"Money Trees","Kendrick Lamar",217375,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
171,"XO Tour Llif3","Lil Uzi Vert",216841,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
172,"No Guidance (feat. Drake)","Chris Brown",216577,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
173,"Say You Won't Let Go","James Arthur",216024,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
174,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,215478,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
175,"10,000 Hours (with Justin Bieber)","Dan + Shay",215157,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
176,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",214780,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
177,"Heart Of Glass (Live from the iHeart Festival)","Miley Cyrus",214128,https://open.spotify.com/track/5i7ThJfYLAzp2DyZuFpF6j
178,"Got What I Got","Jason Aldean",213300,https://open.spotify.com/track/4TCc369aRPRubv1m8R1TBG
179,"Beer Never Broke My Heart","Luke Combs",213129,https://open.spotify.com/track/7aEtlGHoiPAfRB084NiDmx
180,"GREECE (feat. Drake)","DJ Khaled",212048,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
181,"Don't Start Now","Dua Lipa",211187,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
182,"It's the Most Wonderful Time of the Year","Andy Williams",210463,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
183,Promiscuous,"Nelly Furtado",210345,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
184,"Blueberry Eyes (feat. SUGA of BTS)",MAX,209684,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
185,Wow.,"Post Malone",209399,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
186,MORE,K/DA,208604,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
187,"rockstar (feat. 21 Savage)","Post Malone",208518,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
188,"Cover Me Up","Morgan Wallen",208335,https://open.spotify.com/track/7Jd0VVrzeTTWipxSzJ81aC
189,"Dance Monkey","Tones And I",208044,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
190,"Murder On My Mind","YNW Melly",207181,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
191,"everything i wanted","Billie Eilish",206864,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
192,"It's Beginning to Look a Lot like Christmas","Michael Bublé",205611,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
193,"7 rings","Ariana Grande",205497,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
194,Losses,"Lil Tjay",204421,https://open.spotify.com/track/3bAzFi7wGuOXJdgOYyFDSW
195,"Hit Different",SZA,203797,https://open.spotify.com/track/7Bar1kLTmsRmH6FCKKMEyU
196,Maniac,"Conan Gray",203221,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
197,"Chicago Freestyle (feat. Giveon)",Drake,202244,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
198,Epidemic,"Polo G",202007,https://open.spotify.com/track/170DNUSnQRp1tGpppF26pA
199,"Lean Wit Me","Juice WRLD",201696,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
200,"when the party's over","Billie Eilish",201576,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
